English,Akuapem Twi
It's on the sofa.,Ɛwɔ baabi a woyi ti no.
The grass in the park is green and beautiful.,Wura a ɛwɔ mmoa yɛmmea hɔ no yɛ frɔmfrɔm na ɛyɛ fɛ.
Kwabena has always been quiet.,Kwabena ayɛ dinn bere nyinaa.
I hate raccoons.,M'ani nnye ho sɛ me ne wɔn bɛbɔ nkɔmmɔ.
Kwabena laughed at Abena.,Kwabena serew wɔ Abena.
You must have the report done by Monday.,Ɛbɛyɛ sɛ Dwoda na wɔde amanneɛbɔ no maa wo.
Sewage often pollutes the ocean.,"Mpɛn pii no, nnuru a wɔde kum mmoawa sɛe po."
It's done!,Ɛyɛ yiye!
Kwabena is asleep in his chair.,Kwabena da n'agua so.
I'm looking for work.,Mehwehwɛ adwuma.
I just need to know what Kwabena wants.,Nea ehia ara ne sɛ mehu nea Kwabena hwehwɛ.
An elephant is a strong animal.,ɔsono yɛ aboa a ne ho yɛ den.
"In some areas of the world, you can still get sued if you slander or libel a deceased person.","Wɔ wiase no afã bi no, sɛ woka obi a wawu ho nsɛmmɔne anaa wukum no a, wubetumi akɔ so adi wo ho fɛw."
It makes no difference to me whether he likes baseball or football.,Ɛmfa me ho sɛ n'ani gye bɔɔlbɔ anaa bɔɔlbɔ ho no.
Kwabena wore a white shirt.,Kwabena hyɛɛ atade fitaa bi.
What Kwabena really wanted was a new guitar.,Nea na Kwabena hwehwɛ ankasa ne ade foforo koraa.
"In those days, few people could travel abroad.","Saa bere no, na nnipa kakraa bi pɛ na wotumi tu kwan kɔ amannɔne."
"It's the rule, not the exception.",Ɛnyɛ ɛno nkutoo ne mmara no.
I just need to talk to you.,Nea ehia ara ne sɛ me ne wo bɛkasa.
You shouldn't spend more money than you earn.,Ɛnsɛ sɛ wosɛe sika pii sen wo sika.
Kwabena usually takes a shower before eating breakfast.,Kwabena taa guare ansa na wadi anɔpa aduan.
He was bare to the waist.,Ná ɛyɛ den ma no paa.
I'll wait until four o'clock.,Mɛsan atwɛn akosi ahemadakye 6.
"This is your problem, not mine.","Eyi ne mo haw, ɛnyɛ me de."
There are a lot of tools in the box.,Nnwinnade pii wɔ adaka no mu.
I hadn't expected anyone to be home.,Ná menhwɛ kwan sɛ obi bɛtra fie.
I asked them to fix my car.,Meka kyerɛɛ wɔn sɛ wonsiesie me kar no.
"For the other 600 million people, English is either a second language or a foreign language.","Wɔ nnipa ɔpepem 600 a wɔaka no fam no, Engiresi yɛ kasa foforo anaa kasa foforo."
I did everything I was supposed to do.,Meyɛɛ biribiara a na mepɛ sɛ meyɛ.
They have families.,Wɔwɔ mmusua.
I saw the sights of Kyoto during my vacation.,"Bere a meregye m'ahome no, mihuu nneɛma a na ɛrekɔ so wɔ afe no mu no."
His older sister is older than my oldest brother.,Ne nuabea panyin anyin sen me nuabarima panyin no.
The distance from my home to yours is two kilometers.,Ɔkwan a ɛda me ne me fie ntam no yɛ abien.
Thank you for your kind words.,Meda mo ase wɔ mo kasa a ayamye wom no ho.
I'm too busy to talk to you now.,Seesei minni adagyew koraa a metumi ne wo akasa.
Be discreet.,Yɛ anifere.
I can feel it in my bones.,Mitumi te nka wɔ me nnompe mu.
Kwabena thought he was going to get a higher salary.,Kwabena susuwii sɛ obenya akatua kɛse.
They reported it to the authorities.,Wɔkaa ho asɛm kyerɛɛ atumfoɔ no.
I know what to look out for.,Minim nea ɛsɛ sɛ mehwehwɛ.
He is well spoken of by everybody.,Obiara bɔ ne din pa.
My colleagues welcomed me very warmly.,Me mfɛfo adwumayɛfo gyee me fɛw so.
She told him that she loved him.,Ɔka kyerɛɛ no sɛ ɔdɔ no.
I speak a little French.,Ɛyɛ a meka Franse kasa kakra.
We're rich.,Yɛwɔ sika pii.
Late autumn in Scotland is rather cold.,"Sɛ edu otwabere awiei wɔ Scotland a, awɔw na ɛde wɔn."
They tried to swim to safety.,Wɔbɔɔ mmɔden sɛ wɔbɛma wɔn ho adwo wɔn.
She was listening to music.,Ná ɔretie nnwom.
Could you reduce the price a little?,So wubetumi atew ɛka no so kakra?
You don't need to thank me. I'm here to serve you.,"Ɛho nhia sɛ woda me ase, mewɔ ha sɛ mɛsom wo."
He's crazy about her.,Ɔbɔɔ dam wɔ ne ho.
Take a taxi to the hotel.,Fa teaseɛnam kɔ ahɔhodan no mu.
You are my father.,Wone me papa.
Kwabena is a very good dancer.,Kwabena ho yɛ fɛ yiye.
Here is a basket full of vegetables.,Ɛha yi yɛ kɛntɛn a atosode ayɛ mu ma.
Kwabena and Abena want their marriage annulled.,Kwabena ne Abena pɛ sɛ wɔn aware no sɛe.
I shot Kwabena.,Mebɔɔ Kwabena tuo.
It is hard to wake up without a strong cup of coffee.,Ɛyɛ den sɛ wobɛsɔre a wonnom kɔfe a ano yɛ den.
The trees are green.,Nnua no yɛ ahabammono.
Put a dash of brandy in my tea.,Fa aduru bi to me tii mu.
She's trying to commit suicide.,Ɔrebɔ mmɔden sɛ obekum ne ho.
I want to become an engineer.,Mepɛ sɛ meyɛ mfiri ho nimdefo.
Find out all you can about Kwabena's business.,Hwehwɛ nea wubetumi ayɛ nyinaa wɔ Kwabena adwuma no ho.
How do you know my father?,Woyɛ dɛn hu me papa?
I want to eat it.,Mepɛ sɛ midi.
Today isn't Monday.,Ɛnnɛ nyɛ Dwoda.
The drain is clogged again.,Ɛsan twe nsu no bio.
Where can you buy books?,Ɛhe na wubetumi atɔ nhoma?
He likes me.,Ɔpɛ m'asɛm.
I admit that he is right.,Migye tom sɛ n'asɛm no yɛ nokware.
Do you think I should tell Kwabena?,Wususuw sɛ ɛsɛ sɛ meka kyerɛ Kwabena?
"According to the newspaper, he will be here today.","Sɛnea atesɛm krataa no kyerɛ no, ɔbɛba nnɛ."
You've got to hurry.,Ɛsɛ sɛ woyɛ ntɛm.
Something unexpected happened.,Biribi a na wɔnhwɛ kwan sii.
We talked to each other for a while.,Yɛbɔɔ nkɔmmɔ kakra.
The man was a total stranger.,Ná ɔbarima no yɛ ɔhɔho koraa.
I'm angry at you.,Me bo afuw wo.
Those were his actual words.,Ɛno ne nsɛm a ɔkae ankasa.
There's not enough water.,Nsu kakraa bi na ɛwɔ hɔ.
There was a big earthquake last night.,Asasewosow kɛse bi sii anadwo a etwaam no.
Do you need anything?,So wuhia biribi?
I hope to visit Nara next time.,Mehwɛ kwan sɛ bere foforo bɛba a mɛsan akɔsra Nana.
He often eats breakfast there.,Ná ɔtaa didi wɔ hɔ.
What are they hiding?,Dɛn na wɔde sie?
"He who is not satisfied with a little, is satisfied with nothing.","Nea n'ani nsɔ kakraa bi no, biribiara nsɔ n'ani."
Abena looks beautiful.,Abena ho yɛ fɛ.
Kwabena is extremely aggressive.,Kwabena ani bere ade paa.
We have 30 minutes.,Yɛwɔ simma 30.
The baby is screaming.,Abofra no teɛteɛm.
Thank you for all you've done.,Meda mo ase wɔ nea moayɛ nyinaa ho.
Kwabena can't remember where he hid the documents.,Kwabena ntumi nkae baabi a ɔde nkrataa no siei no.
Can we talk now?,So yebetumi akasa seesei?
Kwabena's helping.,Kwabena mmoa.
He behaved like a child.,Ɔyɛɛ n'ade te sɛ abofra.
Don't worry about what others say.,Mma nea afoforo ka nnhaw wo.
Go.,Kɔ.
You won't be in time unless you run.,"Sɛ woannya kwan ntu mmirika a, ɛrenkyɛ koraa na wo ho atɔ wo."
I recommend that you read that novel.,Mesrɛ sɛ kenkan saa nhoma no.
Let me explain it with a diagram.,Ma menkyerɛkyerɛ mu yiye.
Kwabena is big.,Kwabena sõ.
I'm sure you're going to like this lunch.,Migye di sɛ wobɛyɛ w'ade saa awia yi.
"At the time, we were just fifteen years old.","Saa bere no, na yɛadi mfe 16 pɛ."
Do you want me to talk to Kwabena about what's going to happen?,So wopɛ sɛ meka nea ebesi no ho asɛm kyerɛ Kwabena?
I'm not a member of the club.,Menyɛ kuw no muni.
"No matter how hard you try, you can't finish it in a day.","Ɛmfa ho mmɔden biara a wobɛbɔ no, wuntumi nwie da koro."
My grandfather died in the same room in which he was born.,Me nanabarima wui wɔ ɔdan koro a wɔwoo no wom no ara mu.
He was scared you would shoot him.,Ná osuro sɛ wobɛbɔ no tuo.
I'm very impressed with your quality control.,M'ani agye sɛnea wudi wo ho so no ho yiye.
The tall man left in a hurry.,Ɔbarima tenten no fii hɔ ntɛm ara.
Leave us alone.,gyaw yɛn nkutoo hɔ.
That's irrelevant.,Ɛno ho nhia.
Who's Kwabena looking for?,Hena na ɔhwehwɛɛ no?
Do you need to leave today?,So ɛsɛ sɛ wufi hɔ nnɛ?
My uncle is coming to see us tomorrow.,Me wɔfa bɛba abɛsra yɛn ɔkyena.
You may go as long as you come home early.,Wubetumi akɔ fie ntɛm ara.
They claim they're Canadians.,Wɔka sɛ wɔyɛ Canadafo.
Can you remember the first time we met each other?,So wubetumi akae bere a edi kan a yehyiaa yɛn ho yɛn ho?
Could you please play a tango?,"Mesrɛ wo, wubetumi abɔ tango?"
I agree with you on this point.,Me ne wo yɛ adwene wɔ asɛm yi ho.
Do you want to rest?,So wopɛ sɛ wugye w'ahome?
He's often late for work.,"Mpɛn pii no, ɔka akyi yɛ adwuma."
I would rather stay at home than go out.,Mepɛ sɛ metra fie sen sɛ mefi fie.
More than 20% of the population owns a car.,Nnipa a wɔwɔ hɔ no mu bɛboro ɔha biara mu 20 na wɔwɔ kar.
I often ate curry in Japan.,Ná metaa didi wɔ Japan.
She prides herself on her skill in cooking.,N'ani gye sɛnea onim aduannoa no ho.
I thought we were going to die.,Ná misusuw sɛ yebewu.
This is my husband.,Eyi ne me kunu.
All my efforts were in vain.,Mmɔden a mebɔe nyinaa ankosi hwee.
What's happening up there?,Dɛn na ɛrekɔ so wɔ hɔ?
I deserve a promotion.,Ɛfata sɛ wɔbɔ me aba so.
I just need some sleep.,Nea mihia ara ne sɛ mɛda kakra.
Kwabena and Abena seldom eat together.,Kwabena ne Abena ntaa nnidi mmom.
What about you?,Na wo nso ɛ?
Who's that boy?,Hena ne saa abarimaa no?
How many more of you are there?,Mo mu dodow ahe na mowɔ?
Kwabena's dream is to live in a small town in the south of France.,Kwabena botae ne sɛ ɔbɛtra kurow ketewa bi mu wɔ France anafo fam.
Kwabena is the only one who can help you now.,Kwabena nkutoo ne obi a obetumi aboa wo seesei.
"Our bus left at eight, arriving in Boston at eleven.","Yɛn bɔs no fii hɔ bere a na wadi mfe awotwe no, na yeduu Boston wɔ afe 1420 mu."
I lost my trust in him.,Mehweree ne mu ahotoso a mewɔ no.
Could you put these in a box?,Wubetumi de agu adaka mu?
They followed you here.,Wodii w'akyi wɔ ha.
Kwabena finished off the ice cream.,Kwabena wiee ice cream no.
Kwabena only slept for three hours last night.,Kwabena ada nnɔnhwerew abiɛsa pɛ anadwo a etwaam no.
What's happening?,Dɛn na ɛrekɔ so?
Start at the beginning.,Fi ase fi mfiase.
Kwabena knows something isn't right.,Kwabena nim sɛ biribi nyɛ nokware.
England resembles Japan in many respects.,England te sɛ Japan wɔ akwan pii so.
You deal with it.,Wudi ho dwuma.
I have nothing to do with this matter.,Mintumi nyɛ asɛm yi ho hwee.
He was the strongest candidate for the position.,Ɔno na na ɔfata dibea no paa.
You must be careful when talking to a European.,Ɛsɛ sɛ wohwɛ yiye bere a wo ne Europani bi rekasa no.
Eisenhower kept his promise.,Eisen Wayer dii ne bɔhyɛ so.
Is this correct?,So eyi yɛ nokware?
Kwabena lost a lot of weight.,Kwabena so tewee kɛse.
"When he was young, he would often watch baseball.","Bere a ɔyɛ abofra no, na ɔtaa hwɛ baseball."
This dictionary is by far the best.,Nsɛm asekyerɛ nhoma yi ne nea eye sen biara.
What do you want with me?,Dɛn na wopɛ sɛ meyɛ wɔ me ho?
Compass needles point to the north.,Mmeamudua ho akodi twe adwene si kusuu fam so.
I want to go with a friend to Hokkaido next month.,Mepɛ sɛ me ne m'adamfo bi kɔ Hokkado ɔsram a edi hɔ no.
This is carcinogenic.,Eyi yɛ nsusuwii hunu.
Our school has about one thousand students.,Sukuufo bɛyɛ apem na wɔwɔ yɛn sukuu no mu.
It wasn't cheaper than any of the other stores.,Ná ne bo nyɛ den te sɛ sotɔɔ afoforo no mu biara.
The bank loaned the company one million dollars.,Sikakorabea no bɔɔ adwumakuw no bosea dɔla ɔpepem biako.
Can I work here?,So metumi ayɛ adwuma wɔ ha?
Why are you awake?,Dɛn nti na worema w'ani ada hɔ?
You tried.,Wobɔɔ mmɔden sɛ wobɛyɛ saa.
We elected him to be mayor.,Yeyii no sii hɔ sɛ kurow sohwɛfo.
I'm going to Boston for the holidays.,Merebɛkɔ Boston akodi nnapɔnna.
I saw Kwabena a while back.,Mihuu Kwabena bere tiaa bi akyi.
I've been to the mall.,Makɔ aguadidan no mu.
Kwabena's train hasn't arrived yet.,Kwabena keteke no nnya mmae.
"French is difficult, isn't it?","Franse kasa yɛ den, ɛnte saa?"
I felt that.,Metee nka saa.
Kwabena usually goes to bed just before midnight.,Kwabena taa dae bere tiaa bi ansa na ade asa.
Kwabena is quite dangerous.,Kwabena ho yɛ hu yiye.
Kwabena isn't Abena's husband.,Kwabena nyɛ Abena kunu.
My parrot died yesterday.,"Ade kyee no, me duruyɛfo wui."
We took a short rest on the way.,Yɛde bere tiaa bi gyee yɛn ahome wɔ kwan so.
The king oppressed his people.,Ɔhene no hyɛɛ ne nkurɔfo so.
Are you sure you know what you're doing?,Wugye di sɛ wunim nea woreyɛ?
She's not a doctor.,Ɔnyɛ oduruyɛfo.
Kwabena roomed with John in college.,Kwabena ne John traa dan mu wɔ kɔlege.
I can still hear your voice.,Meda so ara te wo nne.
Kwabena showed us a picture of his mother.,Kwabena yɛɛ ne maame mfonini kyerɛɛ yɛn.
One of the children left the door open.,Mmofra no mu biako buee pon no.
Don't you just have anything else to do?,So wunni biribi foforo biara yɛ?
I don't snore.,Menyɛ saa.
Kwabena folded the paper before handing it to Abena.,Kwabena bobɔɔ krataa no mu ansa na ɔde rekɔ Abena.
"Genius does what it must, and talent does what it can.","Genius yɛ nea ɛsɛ sɛ ɔyɛ, na ɔdom akyɛde yɛ nea ebetumi."
I can't resist her.,Mintumi ne no nni asi.
I asked you a question.,Mibisaa wo asɛm bi.
He envied my success.,N'ani beree nkɔso a na manya no.
I met her three days ago.,Mihyiaa no nnansa a atwam no.
It's very sad.,Ɛyɛ awerɛhow yiye.
Kwabena is mad.,Kwabena bo afuw.
Where can I find toothpaste?,Ɛhe na metumi ahu ɛse a wɔafew ano?
I will speak to her about it directly.,Me ne no bɛbɔ ho nkɔmmɔ tẽẽ.
I'll call you at noon.,Mɛfrɛ wo awia.
I thought I told you not to come.,Ná misusuw sɛ meka kyerɛ wo sɛ mma.
My bike was stolen last night.,"Anadwo a etwaam no, wowiaa me sakre."
I have a friend whose wife is a pianist.,Mewɔ adamfo bi a ne yere yɛ obi a onim adwuma yiye.
I need this.,Eyi hia me.
Kwabena suffered from a heart attack and almost died waiting for the ambulance.,"Ná Kwabena anya komayare, na ɛkaa kakraa bi ma anka owui a na ɔretwɛn sɛ wɔde no bɛkɔ ayaresabea."
We dance together.,Yɛbom saw.
Isn't this what you want?,So ɛnyɛ eyi na wopɛ?
The decision is not final.,Gyinaesi no nyɛ nea etwa to.
I would like to read some books about Lincoln.,Mepɛ sɛ mekenkan Lincoln nhoma no bi.
Don't you have a husband?,So wunni kunu?
How much time do you intend to stay in Oxford?,Bere tenten ahe na wopɛ sɛ wode tra Oxford?
The building is being demolished.,Wɔresɛe ɔdan no.
He came back soon.,Ankyɛ na ɔsan bae.
I usually get up at 6:00.,Metaa sɔre anɔpa 6:00.
Don't make noise.,Nyɛ dede.
Has the witness been sworn in?,So wɔaka adanse no ntam?
What's wrong with me?,Dɛn na ɛhaw me?
Kwabena stayed.,Kwabena tenaa hɔ.
"Recently I have been feeling a little tired, so I have not gone swimming this week.","Nnansa yi, mete nka sɛ mabrɛ kakra, enti menguare saa dapɛn yi."
I know Kwabena.,Minim Kwabena.
We are out of danger.,Yɛn nkwa da asiane mu.
I don't have a box.,Minni adaka.
Kwabena might faint.,Kwabena betumi atɔ mum.
Are you enjoying good health?,So wowɔ akwahosan pa?
I caught the last bus.,Mihuu bɔs a etwa to no.
What kind of English is that?,Engiresi kasa bɛn?
We could not swallow his story.,Yɛantumi annye n'asɛm no antom.
It's too bad that you couldn't come.,Ɛyɛ yaw dodo sɛ wuntumi mma.
You can tell us.,Wubetumi aka akyerɛ yɛn.
She goes to night school.,Ɔkɔ sukuu anadwo.
Where does that bus go?,Ɛhe na saa bɔs no kɔ?
You must keep your room clean.,Ɛsɛ sɛ woma wo dan mu tew.
She died two days after his arrival.,Oduu hɔ akyi nnanu na owui.
I have something that you should see.,Mewɔ biribi a ɛsɛ sɛ wuhu.
I have to go to sleep.,Ɛsɛ sɛ meda.
Kwabena said he would try.,Kwabena kae sɛ ɔbɛbɔ mmɔden.
Thanks a lot for the advice.,Yɛda mo ase pii wɔ afotu no ho.
My cat is white.,Me aboa no ho yɛ fitaa.
We have been together for a year.,Yɛabom atra afe biako ni.
I think Kwabena knows things that we don't.,Misusuw sɛ Kwabena nim nneɛma bi a yennim.
I have the ace of clubs.,M'ani gye akuw ho paa.
Kwabena asked me if I knew what time the meeting was going to start.,Kwabena bisaa me sɛ minim bere a wobefi nhyiam no ase anaa.
How romantic!,Ɔdɔ bɛn ara ni!
We like playing in the mud.,Yɛpɛ sɛ yedi agoru wɔ atɛkyɛ mu.
My uncle has completely recovered from his illness.,Me wɔfa ho atɔ no koraa wɔ ne yare no ho.
Kwabena doesn't want to be found.,Kwabena mpɛ sɛ wohu no.
The mechanic repaired the damage without delay.,Nea osiesie mfiri no siesiee ɔhaw no ntɛm ara.
Kwabena always told us that you can't teach an old dog new tricks.,Kwabena ka kyerɛɛ yɛn bere nyinaa sɛ wuntumi nkyerɛ ɔkraman dedaw bi kwan.
The wall is partly covered with ivy.,Na fango agye ɔfasu no fã kɛse no ara afa.
Children shouldn't be spoiled.,Ɛnsɛ sɛ wɔsɛe mmofra.
His aunt takes care of his dog during the day.,Ne maame nua no hwɛ ne kraman no awia.
Explain it to me.,Kyerɛkyerɛ mu kyerɛ me.
Was it all an illusion?,So ne nyinaa yɛ nnaadaasɛm?
You have a point there.,Wowɔ asɛm bi ka.
I seldom go out on Monday.,Mentaa mpue Dwoda.
What were they arguing about?,Dɛn na na wɔregye ho akyinnye?
I think there's someone out there.,Misusuw sɛ obi wɔ hɔ.
The rain lasted through the night.,Osu no tɔe araa kosii anadwo.
Kwabena always keeps some aspirin in his jacket pocket.,Kwabena de aspirin hyɛ ne kotoku mu bere nyinaa.
You've done it!,Woadi ho dwuma!
What Kwabena really wanted was a good friend he could talk to.,Nea na Kwabena pɛ ankasa ne adamfo pa a na obetumi ne no akasa.
It's a new book.,Ɛyɛ nhoma foforo.
They tried.,Wɔbɔɔ mmɔden.
Do you use current technology?,So wode nnɛyi nyansahu mu nimdeɛ di dwuma?
The festival starts October 20th.,Afahyɛ no fi ase October 20.
I sat and stared at it.,Metraa ase hwɛɛ so.
Kwabena can't believe Abena let herself get caught.,Kwabena ntumi nnye nni sɛ Abena maa wɔkyeree no.
Do you want to see your room?,So wopɛ sɛ wuhu wo dan?
Don't poke fun at foreigners.,Nhoahoa wo ho wɔ ahɔho ho.
How was the wedding?,Ɔkwan bɛn so na na ayeforohyia no te?
There's nowhere to hide.,Baabiara nni hɔ a ahintaw.
Why do you have to do it?,Dɛn nti na ɛsɛ sɛ woyɛ saa?
He is often late for school.,Ná ɔtaa ka akyi kɔ sukuu.
